# GENERATED convenience view (thin projection) by gene_pathway_build.py: pathway_group is the IDF-derived primary AD bucket (specificity-weighted argmax over matched GO/Reactome/OpenTargets terms; ties broken by AD priority). The ontology annotations in gene_pathways_api.jsonl are the truth; this single-bucket column is a derived convenience. Do not hand-edit.
gene_symbol,pathway_group,notes
LAMP2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:chaperone-mediated autophagy translocation complex (idf=6.61); go:chaperone-mediated autophagy (idf=6.20); go:protein targeting to lysosome involved in chaperone-mediated autophagy (idf=6.20) (+17 more) | captured 42 GO / 3 Reactome / 3 OT
LRRK2,endocytosis_endosomal,"primary=endocytosis_endosomal IDF-derived (score=6.61); go:regulation of retrograde transport, endosome to Golgi (idf=6.61); go:regulation of ER to Golgi vesicle-mediated transport (idf=6.20); go:negative regulation of late endosome to lysosome transport (idf=6.20) (+22 more) | captured 172 GO / 1 Reactome / 1 OT"
MADD,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=2.66); open_targets:Vesicle-mediated transport (idf=2.66) | captured 17 GO / 2 Reactome / 2 OT
MAN2A1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=2.66); open_targets:Vesicle-mediated transport (idf=2.66) | captured 17 GO / 3 Reactome / 3 OT
MAP1LC3A,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.36); go:autophagy of mitochondrion (idf=5.36); go:autophagosome maturation (idf=5.22); go:autophagosome membrane (idf=5.00) (+9 more) | captured 35 GO / 3 Reactome / 3 OT
MARCKS,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:germinal vesicle (idf=6.61) | captured 25 GO / 1 Reactome / 1 OT
MTMR10,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.36); reactome:Synthesis of PIPs at the early endosome membrane (idf=5.36); open_targets:Synthesis of PIPs at the early endosome membrane (idf=5.36) | captured 3 GO / 1 Reactome / 1 OT
MTMR12,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.36); reactome:Synthesis of PIPs at the early endosome membrane (idf=5.36); open_targets:Synthesis of PIPs at the early endosome membrane (idf=5.36) | captured 8 GO / 1 Reactome / 1 OT
MTMR14,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.47); reactome:Macroautophagy (idf=4.47); open_targets:Macroautophagy (idf=4.47); go:macroautophagy (idf=4.12) (+1 more) | captured 10 GO / 2 Reactome / 2 OT
MTMR3,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); go:regulation of autophagosome assembly (idf=5.51); reactome:Macroautophagy (idf=4.47); open_targets:Macroautophagy (idf=4.47) (+2 more) | captured 21 GO / 2 Reactome / 2 OT
MTMR7,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); reactome:Synthesis of PIPs at the late endosome membrane (idf=5.51); open_targets:Synthesis of PIPs at the late endosome membrane (idf=5.51) | captured 14 GO / 2 Reactome / 2 OT
MTMR9,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); reactome:Synthesis of PIPs at the late endosome membrane (idf=5.51); open_targets:Synthesis of PIPs at the late endosome membrane (idf=5.51); go:negative regulation of autophagy (idf=4.74) | captured 16 GO / 3 Reactome / 3 OT
MYO5A,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:vesicle transport along actin filament (idf=6.61); go:establishment of vesicle localization (idf=6.61); go:post-Golgi vesicle-mediated transport (idf=5.51) (+9 more) | captured 41 GO / 5 Reactome / 5 OT
NAGPA,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:secretion of lysosomal enzymes (idf=6.61); go:protein targeting to lysosome (idf=5.22); go:lysosome organization (idf=4.36) | captured 10 GO / 0 Reactome / 0 OT
NCOA4,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.22); go:protein targeting to lysosome (idf=5.22); go:autolysosome (idf=5.00); go:autophagosome (idf=4.12) (+1 more) | captured 16 GO / 0 Reactome / 0 OT
NCSTN,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:secretory vesicle (idf=5.92); go:cytoplasmic vesicle membrane (idf=4.04); go:synaptic vesicle (idf=3.56) (+4 more) | captured 40 GO / 15 Reactome / 15 OT
NISCH,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.01); go:recycling endosome (idf=4.01); go:early endosome (idf=3.23) | captured 11 GO / 3 Reactome / 3 OT
NOS3,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); reactome:NOSIP mediated eNOS trafficking (idf=6.61); open_targets:NOSIP mediated eNOS trafficking (idf=6.61); reactome:NOSTRIN mediated eNOS trafficking (idf=5.92) (+2 more) | captured 59 GO / 9 Reactome / 9 OT
NR1H3,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:negative regulation of secretion of lysosomal enzymes (idf=6.61) | captured 56 GO / 10 Reactome / 10 OT
NRGN,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:trans-Golgi network transport vesicle membrane (idf=6.61) | captured 19 GO / 1 Reactome / 1 OT
NRSN1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.17); go:transport vesicle (idf=4.17); go:cytoplasmic vesicle (idf=3.30) | captured 8 GO / 0 Reactome / 0 OT
NSG2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:clathrin light chain binding (idf=6.20); go:clathrin coat assembly (idf=5.51); go:endosomal transport (idf=4.90) (+8 more) | captured 22 GO / 0 Reactome / 0 OT
OPTN,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.69); go:Golgi to plasma membrane protein transport (idf=5.69); go:recycling endosome membrane (idf=5.00); go:positive regulation of autophagy (idf=4.26) (+5 more) | captured 30 GO / 10 Reactome / 10 OT
PACSIN3,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:negative regulation of endocytosis (idf=5.92); go:regulation of endocytosis (idf=5.00); reactome:Clathrin-mediated endocytosis (idf=4.26) (+3 more) | captured 17 GO / 1 Reactome / 1 OT
PANK1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.74); go:clathrin-coated vesicle (idf=4.74); go:recycling endosome (idf=4.01) | captured 11 GO / 1 Reactome / 1 OT
PARK7,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:positive regulation of autophagy of mitochondrion (idf=6.61); go:regulation of synaptic vesicle endocytosis (idf=5.51); reactome:Chaperone Mediated Autophagy (idf=5.51) (+5 more) | captured 119 GO / 4 Reactome / 4 OT
PCNT,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.69); go:positive regulation of intracellular protein transport (idf=5.69); reactome:Chaperone Mediated Autophagy (idf=5.51); open_targets:Chaperone Mediated Autophagy (idf=5.51) (+3 more) | captured 15 GO / 10 Reactome / 10 OT
PGAM5,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.12); go:macroautophagy (idf=4.12); open_targets:Autophagy (idf=3.59) | captured 10 GO / 2 Reactome / 2 OT
PI4KB,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.36); go:receptor-mediated endocytosis (idf=4.36); go:lysosome organization (idf=4.36); go:endosome (idf=3.26) | captured 22 GO / 1 Reactome / 1 OT
PICALM,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:vesicle cargo loading (idf=6.61); go:regulation of receptor-mediated endocytosis (idf=6.61); go:clathrin coat of coated pit (idf=6.20) (+28 more) | captured 63 GO / 4 Reactome / 4 OT
PIKFYVE,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); go:receptor-mediated endocytosis of virus by host cell (idf=5.51); go:phagosome-lysosome fusion (idf=5.51); go:regulation of autophagosome assembly (idf=5.51) (+12 more) | captured 41 GO / 3 Reactome / 3 OT
PRDX1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=2.66); open_targets:Vesicle-mediated transport (idf=2.66) | captured 24 GO / 5 Reactome / 5 OT
PRKAB1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); reactome:AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274) (idf=5.51); open_targets:AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274) (idf=5.51); reactome:Macroautophagy (idf=4.47) (+3 more) | captured 12 GO / 9 Reactome / 9 OT
RAB10,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:exocytic vesicle (idf=5.92); go:secretory vesicle (idf=5.92); go:endocytic recycling (idf=5.69) (+11 more) | captured 51 GO / 4 Reactome / 4 OT
RAB12,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:trans-Golgi network transport vesicle (idf=6.20); go:endosome to lysosome transport (idf=5.69); go:endocytic recycling (idf=5.69) (+7 more) | captured 21 GO / 2 Reactome / 2 OT
RAB20,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); go:phagosome-lysosome fusion (idf=5.51); go:endocytic vesicle (idf=4.82); go:phagocytic vesicle membrane (idf=4.82) (+4 more) | captured 14 GO / 1 Reactome / 1 OT
RAB38,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:early endosome lumen (idf=6.20); go:endosome to melanosome transport (idf=5.69); go:protein transport (idf=4.90) (+9 more) | captured 43 GO / 2 Reactome / 2 OT
RAB39B,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:autolysosome membrane (idf=5.92); go:autophagosome membrane (idf=5.00); go:regulation of autophagy (idf=4.36) (+4 more) | captured 16 GO / 2 Reactome / 2 OT
RAB7A,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); reactome:Prevention of phagosomal-lysosomal fusion (idf=6.61); reactome:Suppression of autophagy (idf=6.61); open_targets:Prevention of phagosomal-lysosomal fusion (idf=6.61) (+25 more) | captured 51 GO / 18 Reactome / 17 OT
REPS1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.90); go:endosomal transport (idf=4.90); go:clathrin-coated pit (idf=4.82); go:endocytosis (idf=4.36) (+5 more) | captured 10 GO / 2 Reactome / 2 OT
RIN3,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:regulation of vesicle size (idf=5.92); go:endocytic vesicle (idf=4.82); go:endocytosis (idf=4.36) (+5 more) | captured 18 GO / 1 Reactome / 1 OT
SAMD9L,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=3.23); go:early endosome (idf=3.23) | captured 4 GO / 0 Reactome / 0 OT
SCARB2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:regulation of endosome organization (idf=6.61); go:regulation of lysosome organization (idf=5.92); go:protein targeting to lysosome (idf=5.22) (+14 more) | captured 33 GO / 2 Reactome / 2 OT
SCFD1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:regulation of protein transport (idf=6.20); go:regulation of ER to Golgi vesicle-mediated transport (idf=6.20); go:negative regulation of autophagosome assembly (idf=5.92) (+9 more) | captured 18 GO / 2 Reactome / 2 OT
SEC13,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:COPII-coated vesicle cargo loading (idf=6.61); go:COPII vesicle coat (idf=6.61); go:COPII-coated vesicle budding (idf=6.20) (+8 more) | captured 29 GO / 41 Reactome / 41 OT
SEC23IP,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); go:COPII-coated ER to Golgi transport vesicle (idf=5.51); go:ER to Golgi transport vesicle membrane (idf=5.11); reactome:COPII-mediated vesicle transport (idf=5.11) (+4 more) | captured 16 GO / 1 Reactome / 1 OT
SERPINA1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); go:COPII-coated ER to Golgi transport vesicle (idf=5.51); reactome:COPII-mediated vesicle transport (idf=5.11); open_targets:COPII-mediated vesicle transport (idf=5.11) (+1 more) | captured 14 GO / 6 Reactome / 6 OT
SFT2D2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=3.72); go:vesicle-mediated transport (idf=3.72) | captured 6 GO / 0 Reactome / 0 OT
SLC24A4,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=3.84); go:vesicle (idf=3.84) | captured 35 GO / 2 Reactome / 2 OT
SLC2A4,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:regulation of synaptic vesicle budding from presynaptic endocytic zone membrane (idf=6.61); go:trans-Golgi network transport vesicle (idf=6.20); go:vesicle membrane (idf=4.90) (+6 more) | captured 45 GO / 3 Reactome / 3 OT
SLC30A3,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:zinc ion import into synaptic vesicle (idf=6.61); go:clathrin-sculpted vesicle (idf=6.61); go:zinc ion import into lysosome (idf=6.20) (+8 more) | captured 28 GO / 1 Reactome / 1 OT
SLC39A13,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.04); go:cytoplasmic vesicle membrane (idf=4.04) | captured 17 GO / 0 Reactome / 0 OT
SMPD1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:endolysosome (idf=6.61); go:positive regulation of endocytosis (idf=5.51); go:lysosomal lumen (idf=4.04) (+2 more) | captured 38 GO / 2 Reactome / 2 OT
SNX3,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:late endosome to Golgi transport (idf=6.61); go:negative regulation of protein transport (idf=6.61); go:intralumenal vesicle formation (idf=6.61) (+11 more) | captured 32 GO / 2 Reactome / 2 OT
SORL1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:positive regulation of endocytic recycling (idf=6.61); go:protein transporter activity (idf=6.61); go:positive regulation of ER to Golgi vesicle-mediated transport (idf=6.20) (+15 more) | captured 65 GO / 1 Reactome / 1 OT
SPPL2A,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:Golgi-associated vesicle membrane (idf=5.92); go:cytoplasmic vesicle membrane (idf=4.04); go:late endosome membrane (idf=3.84) (+2 more) | captured 19 GO / 1 Reactome / 1 OT
SPPL2C,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:Golgi-associated vesicle membrane (idf=5.92); go:lysosomal membrane (idf=3.10) | captured 20 GO / 0 Reactome / 0 OT
SQSTM1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:protein targeting to vacuole involved in autophagy (idf=6.61); go:endosome organization (idf=5.69); go:autophagy of mitochondrion (idf=5.36) (+9 more) | captured 76 GO / 10 Reactome / 10 OT
STARD3NL,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:vesicle tethering to endoplasmic reticulum (idf=6.61); go:endoplasmic reticulum-endosome membrane contact site (idf=6.20); go:late endosome membrane (idf=3.84) (+2 more) | captured 13 GO / 1 Reactome / 1 OT
SYT13,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:calcium-dependent activation of synaptic vesicle fusion (idf=6.61); go:exocytic vesicle (idf=5.92); go:regulation of synaptic vesicle exocytosis (idf=5.51) (+3 more) | captured 14 GO / 0 Reactome / 0 OT
TCAP,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:otic vesicle formation (idf=6.61) | captured 35 GO / 1 Reactome / 1 OT
TF,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); reactome:Transferrin endocytosis and recycling (idf=5.51); open_targets:Transferrin endocytosis and recycling (idf=5.51); go:positive regulation of receptor-mediated endocytosis (idf=5.22) (+14 more) | captured 40 GO / 7 Reactome / 7 OT
TFEB,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:lysosome localization (idf=6.20); go:regulation of lysosome organization (idf=5.92); go:lysosome organization (idf=4.36) (+2 more) | captured 31 GO / 2 Reactome / 2 OT
THSD1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=3.33); go:endosome membrane (idf=3.33); go:endosome (idf=3.26) | captured 11 GO / 2 Reactome / 2 OT
TMEM106B,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:lysosome localization (idf=6.20); go:lysosomal transport (idf=4.82); go:lysosome organization (idf=4.36) (+4 more) | captured 11 GO / 0 Reactome / 0 OT
TMEM175,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:lysosomal lumen pH elevation (idf=6.20); go:phagosome-lysosome fusion (idf=5.51); go:endosome membrane (idf=3.33) (+3 more) | captured 14 GO / 0 Reactome / 0 OT
TOMM40,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:transmembrane protein transporter activity (idf=5.92); open_targets:Autophagy (idf=3.59) | captured 13 GO / 2 Reactome / 2 OT
TOR1A,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:synaptic vesicle membrane organization (idf=5.92); go:positive regulation of synaptic vesicle endocytosis (idf=5.92); go:synaptic vesicle transport (idf=5.51) (+6 more) | captured 42 GO / 1 Reactome / 1 OT
TP53INP1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:autophagic cell death (idf=6.61); go:autophagosome assembly (idf=4.66); go:positive regulation of autophagy (idf=4.26) (+1 more) | captured 19 GO / 2 Reactome / 2 OT
TPP1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.36); go:lysosome organization (idf=4.36); go:lysosomal lumen (idf=4.04); go:recycling endosome (idf=4.01) (+1 more) | captured 27 GO / 1 Reactome / 1 OT
TRAPPC5,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:vesicle coating (idf=6.20); go:vesicle tethering (idf=6.20); go:COPII vesicle coating (idf=5.92) (+5 more) | captured 14 GO / 2 Reactome / 2 OT
TRAPPC6A,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:vesicle tethering (idf=6.20); go:COPII vesicle coating (idf=5.92); go:Golgi vesicle transport (idf=5.69) (+4 more) | captured 12 GO / 2 Reactome / 2 OT
TSC2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.11); go:positive regulation of macroautophagy (idf=5.11); go:regulation of endocytosis (idf=5.00); reactome:Macroautophagy (idf=4.47) (+8 more) | captured 38 GO / 7 Reactome / 7 OT
TUBB2A,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.69); reactome:Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane (idf=5.69); reactome:Cargo trafficking to the periciliary membrane (idf=5.69); open_targets:Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane (idf=5.69) (+4 more) | captured 22 GO / 32 Reactome / 31 OT
